epoch,train_loss,macro_f1,real_recall,fake_recall,auc_roc
1,0.2124,0.6692,0.62,0.72,0.776
2,0.0762,0.6643,0.54,0.8,0.7972
3,0.0563,0.83,0.84,0.82,0.918
4,0.0602,0.76,0.76,0.76,0.8748
5,0.0291,0.7708,0.58,0.98,0.8764
6,0.0384,0.8153,0.66,0.98,0.9388
7,0.0277,0.9098,0.86,0.96,0.948
8,0.0191,0.8891,0.8,0.98,0.9488
9,0.0159,0.85,0.84,0.86,0.9428
10,0.0175,0.94,0.96,0.92,0.9736
11,0.0176,0.95,0.92,0.98,0.9664
12,0.0218,0.94,0.94,0.94,0.9696
13,0.0217,0.8782,0.76,1.0,0.9668
14,0.0101,0.9096,0.84,0.98,0.972
15,0.0198,0.95,0.96,0.94,0.9744
16,0.0167,0.9399,0.9,0.98,0.972
17,0.0087,0.9298,0.88,0.98,0.9652
18,0.013,0.96,0.94,0.98,0.9752
19,0.0054,0.9096,0.84,0.98,0.97
20,0.0063,0.95,0.92,0.98,0.9712
21,0.0159,0.8994,0.82,0.98,0.9708
22,0.0109,0.9298,0.88,0.98,0.9712
23,0.0048,0.9399,0.9,0.98,0.978
24,0.016,0.95,0.92,0.98,0.9768
