condition,label,file,p_real,p_fake
original,real,real_000.wav,0.885833,0.114167
original,real,real_001.wav,0.955646,0.044354
original,real,real_002.wav,0.922295,0.077705
original,real,real_003.wav,0.959042,0.040958
original,real,real_004.wav,0.979245,0.020755
original,real,real_005.wav,0.942949,0.057051
original,real,real_006.wav,0.937215,0.062785
original,real,real_007.wav,0.985024,0.014976
original,real,real_008.wav,0.988888,0.011112
original,real,real_009.wav,0.986983,0.013017
original,real,real_010.wav,0.961,0.039
original,real,real_011.wav,0.921409,0.078591
original,real,real_012.wav,0.988478,0.011522
original,real,real_013.wav,0.910881,0.089119
original,real,real_014.wav,0.967374,0.032626
original,real,real_015.wav,0.989204,0.010796
original,real,real_016.wav,0.9319,0.0681
original,real,real_017.wav,0.977343,0.022657
original,real,real_018.wav,0.967728,0.032272
original,real,real_019.wav,0.96619,0.03381
original,real,real_020.wav,0.985221,0.014779
original,real,real_021.wav,0.972841,0.027159
original,real,real_022.wav,0.881374,0.118626
original,real,real_023.wav,0.927986,0.072014
original,real,real_024.wav,0.970522,0.029478
original,real,real_025.wav,0.982115,0.017885
original,real,real_026.wav,0.989972,0.010028
original,real,real_027.wav,0.780721,0.219279
original,real,real_028.wav,0.989926,0.010074
original,real,real_029.wav,0.883695,0.116305
original,real,real_030.wav,0.994805,0.005195
original,real,real_031.wav,0.969559,0.030441
original,real,real_032.wav,0.978811,0.021189
original,real,real_033.wav,0.986093,0.013907
original,real,real_034.wav,0.988578,0.011422
original,real,real_035.wav,0.981081,0.018919
original,real,real_036.wav,0.929976,0.070024
original,real,real_037.wav,0.978272,0.021728
original,real,real_038.wav,0.973732,0.026268
original,real,real_039.wav,0.987391,0.012609
original,real,real_040.wav,0.968668,0.031332
original,real,real_041.wav,0.945491,0.054509
original,real,real_042.wav,0.972464,0.027536
original,real,real_043.wav,0.965025,0.034975
original,real,real_044.wav,0.930792,0.069208
original,real,real_045.wav,0.978885,0.021115
original,real,real_046.wav,0.963033,0.036967
original,real,real_047.wav,0.944975,0.055025
original,real,real_048.wav,0.99331,0.00669
original,real,real_049.wav,0.971561,0.028439
original,fake,fake_000.wav,0.066198,0.933802
original,fake,fake_001.wav,0.050295,0.949705
original,fake,fake_002.wav,0.086221,0.913779
original,fake,fake_003.wav,0.023717,0.976283
original,fake,fake_004.wav,0.241741,0.758259
original,fake,fake_005.wav,0.04285,0.95715
original,fake,fake_006.wav,0.03102,0.96898
original,fake,fake_007.wav,0.034934,0.965066
original,fake,fake_008.wav,0.030617,0.969383
original,fake,fake_009.wav,0.0428,0.9572
original,fake,fake_010.wav,0.103181,0.896819
original,fake,fake_011.wav,0.124624,0.875376
original,fake,fake_012.wav,0.272374,0.727626
original,fake,fake_013.wav,0.025003,0.974997
original,fake,fake_014.wav,0.023812,0.976188
original,fake,fake_015.wav,0.079105,0.920895
original,fake,fake_016.wav,0.062564,0.937436
original,fake,fake_017.wav,0.099087,0.900913
original,fake,fake_018.wav,0.015072,0.984928
original,fake,fake_019.wav,0.027481,0.972519
original,fake,fake_020.wav,0.102234,0.897766
original,fake,fake_021.wav,0.158591,0.841409
original,fake,fake_022.wav,0.088014,0.911986
original,fake,fake_023.wav,0.093623,0.906377
original,fake,fake_024.wav,0.245445,0.754555
