condition,label,file,p_real,p_fake
original,real,real_000.wav,0.973492,0.026508
original,real,real_001.wav,0.866748,0.133252
original,real,real_002.wav,0.966605,0.033395
original,real,real_003.wav,0.989642,0.010358
original,real,real_004.wav,0.993452,0.006548
original,real,real_005.wav,0.947605,0.052395
original,real,real_006.wav,0.990606,0.009394
original,real,real_007.wav,0.988972,0.011028
original,real,real_008.wav,0.981102,0.018898
original,real,real_009.wav,0.988842,0.011158
original,real,real_010.wav,0.803199,0.196801
original,real,real_011.wav,0.98924,0.01076
original,real,real_012.wav,0.990954,0.009046
original,real,real_013.wav,0.958008,0.041992
original,real,real_014.wav,0.986978,0.013022
original,real,real_015.wav,0.987124,0.012876
original,real,real_016.wav,0.986596,0.013404
original,real,real_017.wav,0.989284,0.010716
original,real,real_018.wav,0.984678,0.015322
original,real,real_019.wav,0.984376,0.015624
original,fake,fake_000.wav,0.018934,0.981066
original,fake,fake_001.wav,0.169187,0.830813
original,fake,fake_002.wav,0.10471,0.89529
original,fake,fake_003.wav,0.012173,0.987827
original,fake,fake_004.wav,0.072616,0.927384
original,fake,fake_005.wav,0.128548,0.871452
original,fake,fake_006.wav,0.649748,0.350252
original,fake,fake_007.wav,0.055478,0.944522
original,fake,fake_008.wav,0.659118,0.340882
original,fake,fake_009.wav,0.618635,0.381365
original,fake,fake_010.wav,0.414812,0.585188
original,fake,fake_011.wav,0.1849,0.8151
original,fake,fake_012.wav,0.088573,0.911427
original,fake,fake_013.wav,0.002502,0.997498
original,fake,fake_014.wav,0.010885,0.989115
original,fake,fake_015.wav,0.18608,0.81392
original,fake,fake_016.wav,0.059159,0.940841
original,fake,fake_017.wav,0.258729,0.741271
original,fake,fake_018.wav,0.315701,0.684299
original,fake,fake_019.wav,0.247249,0.752751
opus_24k,real,real_000.wav,0.981038,0.018962
opus_24k,real,real_001.wav,0.798471,0.201529
opus_24k,real,real_002.wav,0.951114,0.048886
opus_24k,real,real_003.wav,0.987478,0.012522
opus_24k,real,real_004.wav,0.993261,0.006739
opus_24k,real,real_005.wav,0.927965,0.072035
opus_24k,real,real_006.wav,0.988025,0.011975
opus_24k,real,real_007.wav,0.988224,0.011776
opus_24k,real,real_008.wav,0.96857,0.03143
opus_24k,real,real_009.wav,0.987162,0.012838
opus_24k,real,real_010.wav,0.809681,0.190319
opus_24k,real,real_011.wav,0.988369,0.011631
opus_24k,real,real_012.wav,0.989847,0.010153
opus_24k,real,real_013.wav,0.956181,0.043819
opus_24k,real,real_014.wav,0.98357,0.01643
opus_24k,real,real_015.wav,0.984213,0.015787
opus_24k,real,real_016.wav,0.985811,0.014189
opus_24k,real,real_017.wav,0.98738,0.01262
opus_24k,real,real_018.wav,0.984252,0.015748
opus_24k,real,real_019.wav,0.978142,0.021858
opus_24k,fake,fake_000.wav,0.006179,0.993821
opus_24k,fake,fake_001.wav,0.077884,0.922116
opus_24k,fake,fake_002.wav,0.046384,0.953616
opus_24k,fake,fake_003.wav,0.004132,0.995868
opus_24k,fake,fake_004.wav,0.015706,0.984294
opus_24k,fake,fake_005.wav,0.056703,0.943297
opus_24k,fake,fake_006.wav,0.612491,0.387509
opus_24k,fake,fake_007.wav,0.020657,0.979343
opus_24k,fake,fake_008.wav,0.621632,0.378368
opus_24k,fake,fake_009.wav,0.179715,0.820285
opus_24k,fake,fake_010.wav,0.228808,0.771192
opus_24k,fake,fake_011.wav,0.088572,0.911428
opus_24k,fake,fake_012.wav,0.029092,0.970908
opus_24k,fake,fake_013.wav,0.000748,0.999252
opus_24k,fake,fake_014.wav,0.002638,0.997362
opus_24k,fake,fake_015.wav,0.098416,0.901584
opus_24k,fake,fake_016.wav,0.034216,0.965784
opus_24k,fake,fake_017.wav,0.053952,0.946048
opus_24k,fake,fake_018.wav,0.15903,0.84097
opus_24k,fake,fake_019.wav,0.045429,0.954571
opus_12k,real,real_000.wav,0.971648,0.028352
opus_12k,real,real_001.wav,0.269232,0.730768
opus_12k,real,real_002.wav,0.544177,0.455823
opus_12k,real,real_003.wav,0.975893,0.024107
opus_12k,real,real_004.wav,0.988552,0.011448
opus_12k,real,real_005.wav,0.619458,0.380542
opus_12k,real,real_006.wav,0.904799,0.095201
opus_12k,real,real_007.wav,0.964063,0.035937
opus_12k,real,real_008.wav,0.750944,0.249056
opus_12k,real,real_009.wav,0.971583,0.028417
opus_12k,real,real_010.wav,0.83443,0.16557
opus_12k,real,real_011.wav,0.975458,0.024542
opus_12k,real,real_012.wav,0.980888,0.019112
opus_12k,real,real_013.wav,0.812618,0.187382
opus_12k,real,real_014.wav,0.841165,0.158835
opus_12k,real,real_015.wav,0.872902,0.127098
opus_12k,real,real_016.wav,0.977889,0.022111
opus_12k,real,real_017.wav,0.964836,0.035164
opus_12k,real,real_018.wav,0.89515,0.10485
opus_12k,real,real_019.wav,0.822228,0.177772
opus_12k,fake,fake_000.wav,0.003061,0.996939
opus_12k,fake,fake_001.wav,0.012525,0.987475
opus_12k,fake,fake_002.wav,0.034087,0.965913
opus_12k,fake,fake_003.wav,0.005551,0.994449
opus_12k,fake,fake_004.wav,0.002409,0.997591
opus_12k,fake,fake_005.wav,0.028382,0.971618
opus_12k,fake,fake_006.wav,0.652305,0.347695
opus_12k,fake,fake_007.wav,0.009374,0.990626
opus_12k,fake,fake_008.wav,0.524961,0.475039
opus_12k,fake,fake_009.wav,0.370472,0.629528
opus_12k,fake,fake_010.wav,0.173107,0.826893
opus_12k,fake,fake_011.wav,0.062217,0.937783
opus_12k,fake,fake_012.wav,0.021655,0.978345
opus_12k,fake,fake_013.wav,0.000352,0.999648
opus_12k,fake,fake_014.wav,0.002071,0.997929
opus_12k,fake,fake_015.wav,0.00733,0.99267
opus_12k,fake,fake_016.wav,0.007338,0.992662
opus_12k,fake,fake_017.wav,0.012635,0.987365
opus_12k,fake,fake_018.wav,0.122014,0.877986
opus_12k,fake,fake_019.wav,0.051029,0.948971
gain_minus12,real,real_000.wav,0.993883,0.006117
gain_minus12,real,real_001.wav,0.9581,0.0419
gain_minus12,real,real_002.wav,0.988943,0.011057
gain_minus12,real,real_003.wav,0.99142,0.00858
gain_minus12,real,real_004.wav,0.993484,0.006516
gain_minus12,real,real_005.wav,0.964997,0.035003
gain_minus12,real,real_006.wav,0.991608,0.008392
gain_minus12,real,real_007.wav,0.990729,0.009271
gain_minus12,real,real_008.wav,0.984176,0.015824
gain_minus12,real,real_009.wav,0.989819,0.010181
gain_minus12,real,real_010.wav,0.892402,0.107598
gain_minus12,real,real_011.wav,0.992698,0.007302
