condition,label,file,p_real,p_fake
original,real,real_000.wav,0.023955,0.976045
original,real,real_001.wav,0.01391,0.98609
original,real,real_002.wav,0.001672,0.998328
original,real,real_003.wav,0.022256,0.977744
original,real,real_004.wav,0.008869,0.991131
original,real,real_005.wav,0.032095,0.967905
original,real,real_006.wav,0.024138,0.975862
original,real,real_007.wav,0.010029,0.989971
original,real,real_008.wav,0.035354,0.964646
original,real,real_009.wav,0.008382,0.991618
original,real,real_010.wav,0.00318,0.99682
original,real,real_011.wav,0.00168,0.99832
original,real,real_012.wav,0.428572,0.571428
original,real,real_013.wav,0.002552,0.997448
original,real,real_014.wav,0.001236,0.998764
original,real,real_015.wav,0.006437,0.993563
original,real,real_016.wav,0.007224,0.992776
original,real,real_017.wav,0.008507,0.991493
original,real,real_018.wav,0.000685,0.999315
original,real,real_019.wav,0.002931,0.997069
original,real,real_020.wav,0.004053,0.995947
original,real,real_021.wav,0.011529,0.988471
original,real,real_022.wav,0.003196,0.996804
original,real,real_023.wav,0.025544,0.974456
original,real,real_024.wav,0.000841,0.999159
original,real,real_025.wav,0.000965,0.999035
original,real,real_026.wav,0.068573,0.931427
original,real,real_027.wav,0.011164,0.988836
original,real,real_028.wav,0.000575,0.999425
original,real,real_029.wav,0.098046,0.901954
original,real,real_030.wav,0.071321,0.928679
original,real,real_031.wav,0.003625,0.996375
original,real,real_032.wav,0.007769,0.992231
original,real,real_033.wav,0.002298,0.997702
original,real,real_034.wav,0.002346,0.997654
original,real,real_035.wav,0.008141,0.991859
original,real,real_036.wav,0.01275,0.98725
original,real,real_037.wav,0.005782,0.994218
original,real,real_038.wav,0.009255,0.990745
original,real,real_039.wav,0.014574,0.985426
original,real,real_040.wav,0.033122,0.966878
original,real,real_041.wav,0.000206,0.999794
original,real,real_042.wav,0.00845,0.99155
original,real,real_043.wav,0.003128,0.996872
original,real,real_044.wav,0.007321,0.992679
original,real,real_045.wav,0.042744,0.957256
original,real,real_046.wav,0.002408,0.997592
original,real,real_047.wav,0.021023,0.978977
original,real,real_048.wav,0.003453,0.996547
original,real,real_049.wav,0.070201,0.929799
original,fake,fake_000.wav,0.071602,0.928398
original,fake,fake_001.wav,0.175729,0.824271
original,fake,fake_002.wav,0.106595,0.893405
original,fake,fake_003.wav,0.023643,0.976357
original,fake,fake_004.wav,0.174514,0.825486
original,fake,fake_005.wav,0.001499,0.998501
original,fake,fake_006.wav,0.027681,0.972319
original,fake,fake_007.wav,0.000775,0.999225
original,fake,fake_008.wav,0.000326,0.999674
original,fake,fake_009.wav,0.001132,0.998868
original,fake,fake_010.wav,0.026828,0.973172
original,fake,fake_011.wav,0.148638,0.851362
original,fake,fake_012.wav,0.433045,0.566955
original,fake,fake_013.wav,0.00186,0.99814
original,fake,fake_014.wav,0.001867,0.998133
original,fake,fake_015.wav,0.014132,0.985868
original,fake,fake_016.wav,0.011975,0.988025
original,fake,fake_017.wav,0.006132,0.993868
original,fake,fake_018.wav,0.001216,0.998784
original,fake,fake_019.wav,0.004015,0.995985
original,fake,fake_020.wav,0.004995,0.995005
original,fake,fake_021.wav,0.02197,0.97803
original,fake,fake_022.wav,0.003747,0.996253
original,fake,fake_023.wav,0.021414,0.978586
original,fake,fake_024.wav,0.089574,0.910426
original,fake,fake_025.wav,0.000574,0.999426
original,fake,fake_026.wav,3.3e-05,0.999967
original,fake,fake_027.wav,0.248656,0.751344
original,fake,fake_028.wav,0.005,0.995
original,fake,fake_029.wav,0.088672,0.911328
original,fake,fake_030.wav,0.026856,0.973144
original,fake,fake_031.wav,0.017967,0.982033
original,fake,fake_032.wav,0.026334,0.973666
original,fake,fake_033.wav,0.000375,0.999625
original,fake,fake_034.wav,0.001333,0.998667
original,fake,fake_035.wav,0.010849,0.989151
original,fake,fake_036.wav,0.010966,0.989034
original,fake,fake_037.wav,0.276546,0.723454
original,fake,fake_038.wav,0.000244,0.999756
original,fake,fake_039.wav,0.002587,0.997413
original,fake,fake_040.wav,0.000106,0.999894
original,fake,fake_041.wav,0.006297,0.993703
original,fake,fake_042.wav,0.144274,0.855726
original,fake,fake_043.wav,0.087082,0.912918
original,fake,fake_044.wav,0.011679,0.988321
original,fake,fake_045.wav,0.531291,0.468709
original,fake,fake_046.wav,0.004584,0.995416
original,fake,fake_047.wav,0.012084,0.987916
original,fake,fake_048.wav,0.647885,0.352115
original,fake,fake_049.wav,0.007865,0.992135
opus_24k,real,real_000.wav,0.008487,0.991513
opus_24k,real,real_001.wav,0.018248,0.981752
opus_24k,real,real_002.wav,0.000977,0.999023
opus_24k,real,real_003.wav,0.041164,0.958836
opus_24k,real,real_004.wav,0.018284,0.981716
opus_24k,real,real_005.wav,0.033475,0.966525
opus_24k,real,real_006.wav,0.026607,0.973393
opus_24k,real,real_007.wav,0.013433,0.986567
opus_24k,real,real_008.wav,0.083531,0.916469
opus_24k,real,real_009.wav,0.008074,0.991926
opus_24k,real,real_010.wav,0.003113,0.996887
opus_24k,real,real_011.wav,0.001894,0.998106
opus_24k,real,real_012.wav,0.508141,0.491859
opus_24k,real,real_013.wav,0.004111,0.995889
opus_24k,real,real_014.wav,0.001019,0.998981
opus_24k,real,real_015.wav,0.015938,0.984062
opus_24k,real,real_016.wav,0.006696,0.993304
opus_24k,real,real_017.wav,0.013815,0.986185
opus_24k,real,real_018.wav,0.000565,0.999435
opus_24k,real,real_019.wav,0.002545,0.997455
opus_24k,real,real_020.wav,0.002352,0.997648
