condition,label,file,p_real,p_fake
original,real,real_000.wav,0.037151,0.962849
original,real,real_001.wav,0.014449,0.985551
original,real,real_002.wav,0.002383,0.997617
original,real,real_003.wav,0.02522,0.97478
original,real,real_004.wav,0.006679,0.993321
original,real,real_005.wav,0.020751,0.979249
original,real,real_006.wav,0.008101,0.991899
original,real,real_007.wav,0.009294,0.990706
original,real,real_008.wav,0.008329,0.991671
original,real,real_009.wav,0.004364,0.995636
original,real,real_010.wav,0.011426,0.988574
original,real,real_011.wav,0.000638,0.999362
original,real,real_012.wav,0.063988,0.936012
original,real,real_013.wav,0.001343,0.998657
original,real,real_014.wav,0.001958,0.998042
original,real,real_015.wav,0.005178,0.994822
original,real,real_016.wav,0.007189,0.992811
original,real,real_017.wav,0.008329,0.991671
original,real,real_018.wav,0.001625,0.998375
original,real,real_019.wav,0.007245,0.992755
original,real,real_020.wav,0.005008,0.994992
original,real,real_021.wav,0.008283,0.991717
original,real,real_022.wav,0.003182,0.996818
original,real,real_023.wav,0.031874,0.968126
original,real,real_024.wav,0.00167,0.99833
original,real,real_025.wav,0.001104,0.998896
original,real,real_026.wav,0.122959,0.877041
original,real,real_027.wav,0.052574,0.947426
original,real,real_028.wav,0.000812,0.999188
original,real,real_029.wav,0.418096,0.581904
original,real,real_030.wav,0.274099,0.725901
original,real,real_031.wav,0.005798,0.994202
original,real,real_032.wav,0.005765,0.994235
original,real,real_033.wav,0.00255,0.99745
original,real,real_034.wav,0.002668,0.997332
original,real,real_035.wav,0.007382,0.992618
original,real,real_036.wav,0.017191,0.982809
original,real,real_037.wav,0.011413,0.988587
original,real,real_038.wav,0.010108,0.989892
original,real,real_039.wav,0.012859,0.987141
original,real,real_040.wav,0.021097,0.978903
original,real,real_041.wav,0.000574,0.999426
original,real,real_042.wav,0.009611,0.990389
original,real,real_043.wav,0.002943,0.997057
original,real,real_044.wav,0.001996,0.998004
original,real,real_045.wav,0.037408,0.962592
original,real,real_046.wav,0.002869,0.997131
original,real,real_047.wav,0.029561,0.970439
original,real,real_048.wav,0.00436,0.99564
original,real,real_049.wav,0.131765,0.868235
original,fake,fake_000.wav,0.064879,0.935121
original,fake,fake_001.wav,0.287397,0.712603
original,fake,fake_002.wav,0.106276,0.893724
original,fake,fake_003.wav,0.022169,0.977831
original,fake,fake_004.wav,0.237144,0.762856
original,fake,fake_005.wav,0.001404,0.998596
original,fake,fake_006.wav,0.037185,0.962815
original,fake,fake_007.wav,0.000866,0.999134
original,fake,fake_008.wav,0.000352,0.999648
original,fake,fake_009.wav,0.00109,0.99891
original,fake,fake_010.wav,0.02714,0.97286
original,fake,fake_011.wav,0.145492,0.854508
original,fake,fake_012.wav,0.430379,0.569621
original,fake,fake_013.wav,0.002022,0.997978
original,fake,fake_014.wav,0.001428,0.998572
original,fake,fake_015.wav,0.000333,0.999667
original,fake,fake_016.wav,0.001499,0.998501
original,fake,fake_017.wav,0.00033,0.99967
original,fake,fake_018.wav,0.001266,0.998734
original,fake,fake_019.wav,0.003905,0.996095
original,fake,fake_020.wav,0.004352,0.995648
original,fake,fake_021.wav,0.057491,0.942509
original,fake,fake_022.wav,0.009396,0.990604
original,fake,fake_023.wav,0.031189,0.968811
original,fake,fake_024.wav,0.1564,0.8436
original,fake,fake_025.wav,0.000797,0.999203
original,fake,fake_026.wav,3.6e-05,0.999964
original,fake,fake_027.wav,0.202418,0.797582
original,fake,fake_028.wav,0.009691,0.990309
original,fake,fake_029.wav,0.110286,0.889714
original,fake,fake_030.wav,0.026493,0.973507
original,fake,fake_031.wav,0.002202,0.997798
original,fake,fake_032.wav,0.026328,0.973672
original,fake,fake_033.wav,0.000326,0.999674
original,fake,fake_034.wav,0.001714,0.998286
original,fake,fake_035.wav,0.019577,0.980423
original,fake,fake_036.wav,0.009503,0.990497
original,fake,fake_037.wav,0.13295,0.86705
original,fake,fake_038.wav,0.000258,0.999742
original,fake,fake_039.wav,0.001997,0.998003
original,fake,fake_040.wav,9.8e-05,0.999902
original,fake,fake_041.wav,0.005752,0.994248
original,fake,fake_042.wav,0.153547,0.846453
original,fake,fake_043.wav,0.086787,0.913213
original,fake,fake_044.wav,0.013252,0.986748
original,fake,fake_045.wav,0.452321,0.547679
original,fake,fake_046.wav,0.004688,0.995312
